id,country,year,incident_folder,title_en,media_count,has_generated_snapshot,media_files
greece_1946_white_terror_after_liberation_civil_war_escalation,Greece,1946,Greece/00-00-1946/White Terror after liberation and civil-war escalation,White Terror after liberation and civil-war escalation,2,True,Greece/00-00-1946/White Terror after liberation and civil-war escalation/Media/01 - EN White Terror After Liberation And Civil War Escala 3D0C61De418D.svg | Greece/00-00-1946/White Terror after liberation and civil-war escalation/Media/02 - Bilingual Snapshot.svg
greece_1947_cia_cold_war_stay_behind_claims_coup_context,Greece,1947,Greece/00-00-1947/Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974,Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974,2,False,Greece/00-00-1947/Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974/Media/01 - EN Cover Card.svg | Greece/00-00-1947/Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974/Media/02 - EL Cover Card.svg
greece_1947_ufo_supernatural_folklore_state_secrecy_psychology,Greece,1947,Greece/00-00-1947/Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026,Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026,2,False,Greece/00-00-1947/Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026/Media/01 - EN Cover Card.svg | Greece/00-00-1947/Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026/Media/02 - EL Cover Card.svg
greece_1947_makronisos_camps_reeducation_state_violence,Greece,1947,"Greece/00-00-1947/Makronisos camps, re-education, and state violence","Makronisos camps, re-education, and state violence",2,False,"Greece/00-00-1947/Makronisos camps, re-education, and state violence/Media/01 - Cover Card.svg | Greece/00-00-1947/Makronisos camps, re-education, and state violence/Media/02 - Proof Map.svg"
greece_1949_makronisos_exile_camp_anti_communist_re_education,Greece,1949,Greece/00-00-1949/Makronisos exile camp and anti-communist re-education,Makronisos exile camp and anti-communist re-education,2,True,Greece/00-00-1949/Makronisos exile camp and anti-communist re-education/Media/01 - EN Makronisos Exile Camp And Anti Communist Re Educat 4459B6D36213.svg | Greece/00-00-1949/Makronisos exile camp and anti-communist re-education/Media/02 - Bilingual Snapshot.svg
greece_1952_beloyannis_trial_execution_cold_war_state,Greece,1952,"Greece/00-00-1952/Beloyannis trial, execution, and Cold War state justice","Beloyannis trial, execution, and Cold War state justice",2,False,"Greece/00-00-1952/Beloyannis trial, execution, and Cold War state justice/Media/01 - Cover Card.svg | Greece/00-00-1952/Beloyannis trial, execution, and Cold War state justice/Media/02 - Proof Map.svg"
greece_1952_belogiannis_execution_cold_war_justice_symbolic_repression,Greece,1952,"Greece/00-00-1952/Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)","Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)",4,False,"Greece/00-00-1952/Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)/Media/01 - EN Cover Card.svg | Greece/00-00-1952/Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)/Media/02 - EN Cover Card.svg | Greece/00-00-1952/Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)/Media/03 - EL Cover Card.svg | Greece/00-00-1952/Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)/Media/04 - EL Cover Card.svg"
greece_1955_istanbul_pogrom_minority_trauma_diplomatic_shock_state_memory,Greece,1955,"Greece/00-00-1955/Greece and the Istanbul Pogrom Minority Trauma, Diplomatic Shock and State Memory","Greece and the Istanbul Pogrom: Minority Trauma, Diplomatic Shock and State Memory",2,False,"Greece/00-00-1955/Greece and the Istanbul Pogrom Minority Trauma, Diplomatic Shock and State Memory/Media/01 - EN Cover Card.svg | Greece/00-00-1955/Greece and the Istanbul Pogrom Minority Trauma, Diplomatic Shock and State Memory/Media/02 - EL Cover Card.svg"
greece_1955_istanbul_pogrom_greek_minority_trauma,Greece,1955,Greece/00-00-1955/Istanbul Pogrom and Greek minority trauma,Istanbul Pogrom and Greek minority trauma,2,True,Greece/00-00-1955/Istanbul Pogrom and Greek minority trauma/Media/01 - EN Cover Card.svg | Greece/00-00-1955/Istanbul Pogrom and Greek minority trauma/Media/02 - Bilingual Snapshot.svg
greece_1958_max_merten_occupation_memory_diplomacy_accountability,Greece,1958,"Greece/00-00-1958/Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)","Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)",2,False,"Greece/00-00-1958/Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)/Media/01 - EN Cover Card.svg | Greece/00-00-1958/Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)/Media/02 - EL Cover Card.svg"
greece_1960_psychological_control_media_fear_political_memory,Greece,1960,Greece/00-00-1960/Greece Psychological Control Media Fear And Political Memory 1960 2026,Greece Psychological Control Media Fear And Political Memory 1960 2026,2,False,Greece/00-00-1960/Greece Psychological Control Media Fear And Political Memory 1960 2026/Media/01 - EN Cover Card.svg | Greece/00-00-1960/Greece Psychological Control Media Fear And Political Memory 1960 2026/Media/02 - EL Cover Card.svg
greece_1961_violence_fraud_election_parastate_democratic,Greece,1961,"Greece/00-00-1961/Violence and fraud election, parastate networks and democratic trust (1961)","Violence and fraud election, parastate networks and democratic trust (1961)",2,False,"Greece/00-00-1961/Violence and fraud election, parastate networks and democratic trust (1961)/Media/01 - EN Cover Card.svg | Greece/00-00-1961/Violence and fraud election, parastate networks and democratic trust (1961)/Media/02 - EL Cover Card.svg"
greece_1963_lambrakis_assassination_parastate,Greece,1963,Greece/00-00-1963/Lambrakis assassination and the parastate,Lambrakis assassination and the parastate,3,False,Greece/00-00-1963/Lambrakis assassination and the parastate/Media/01 - EN Cover Card.svg | Greece/00-00-1963/Lambrakis assassination and the parastate/Media/02 - EN Cover Card.svg | Greece/00-00-1963/Lambrakis assassination and the parastate/Media/03 - EL Cover Card.svg
greece_1965_apostasia_palace_party_defection_crisis,Greece,1965,"Greece/00-00-1965/Apostasia crisis, palace pressure, and parliamentary defections","Apostasia crisis, palace pressure, and parliamentary defections",2,False,"Greece/00-00-1965/Apostasia crisis, palace pressure, and parliamentary defections/Media/01 - Cover Card.svg | Greece/00-00-1965/Apostasia crisis, palace pressure, and parliamentary defections/Media/02 - Proof Map.svg"
greece_1965_apostasia_royal_crisis_defectors_institutional_breakdown,Greece,1965,"Greece/00-00-1965/Apostasia, royal crisis, defectors and institutional breakdown (1965)","Apostasia, royal crisis, defectors and institutional breakdown (1965)",2,False,"Greece/00-00-1965/Apostasia, royal crisis, defectors and institutional breakdown (1965)/Media/01 - EN Cover Card.svg | Greece/00-00-1965/Apostasia, royal crisis, defectors and institutional breakdown (1965)/Media/02 - EL Cover Card.svg"
greece_1965_aspida_affair_army_politics_palace_pressure,Greece,1965,"Greece/00-00-1965/ASPIDA affair, army politics, and palace pressure","ASPIDA affair, army politics, and palace pressure",2,False,"Greece/00-00-1965/ASPIDA affair, army politics, and palace pressure/Media/01 - Cover Card.svg | Greece/00-00-1965/ASPIDA affair, army politics, and palace pressure/Media/02 - Proof Map.svg"
greece_1967_april_21_coup_foreign_context_local_responsibility,Greece,1967,Greece/00-00-1967/April 21 coup foreign context and local responsibility,April 21 coup: foreign context and local responsibility,2,False,Greece/00-00-1967/April 21 coup foreign context and local responsibility/Media/01 - EN Cover Card.svg | Greece/00-00-1967/April 21 coup foreign context and local responsibility/Media/02 - EN Proof Map.svg
greece_1967_coup_us_response,Greece,1967,Greece/00-00-1967/Greece The 1967 coup and the U.S. response (1965-1974),Greece: The 1967 coup and the U.S. response (1965-1974),2,False,Greece/00-00-1967/Greece The 1967 coup and the U.S. response (1965-1974)/Media/01 - EN Cover Card.svg | Greece/00-00-1967/Greece The 1967 coup and the U.S. response (1965-1974)/Media/02 - EL Cover Card.svg
greece_1967_junta_coup_nato_era_anti_communist_state,Greece,1967,Greece/00-00-1967/Junta coup and NATO era anti-communist state,Junta coup and NATO era anti-communist state,2,True,Greece/00-00-1967/Junta coup and NATO era anti-communist state/Media/01 - EN Cover Card.svg | Greece/00-00-1967/Junta coup and NATO era anti-communist state/Media/02 - Bilingual Snapshot.svg
greece_1968_junta_torture_files_international_condemnation,Greece,1968,Greece/00-00-1968/Junta torture files and international condemnation,Junta torture files and international condemnation,2,True,Greece/00-00-1968/Junta torture files and international condemnation/Media/01 - EN Junta Torture Files And International Condemnation 68B2D08190C5.svg | Greece/00-00-1968/Junta torture files and international condemnation/Media/02 - Bilingual Snapshot.svg
greece_1968_panagoulis_torture_junta_repression_resistance_military_courts_fear,Greece,1968,"Greece/00-00-1968/Panagoulis Torture and Junta Repression Resistance, Military Courts and Fear","Panagoulis Torture and Junta Repression: Resistance, Military Courts and Fear",2,False,"Greece/00-00-1968/Panagoulis Torture and Junta Repression Resistance, Military Courts and Fear/Media/01 - EN Cover Card.svg | Greece/00-00-1968/Panagoulis Torture and Junta Repression Resistance, Military Courts and Fear/Media/02 - EL Cover Card.svg"
greece_1973_athens_polytechnic_uprising_and_junta_violence,Greece,1973,Greece/00-00-1973/Athens Polytechnic uprising and junta violence,Athens Polytechnic uprising and junta violence,2,False,Greece/00-00-1973/Athens Polytechnic uprising and junta violence/Media/01 - Cover Card.svg | Greece/00-00-1973/Athens Polytechnic uprising and junta violence/Media/02 - Proof Map.svg
greece_1973_athens_polytechnic_uprising_tank_memory_state_violence,Greece,1973,"Greece/00-00-1973/Athens Polytechnic uprising, tank assault, and state-violence memory","Athens Polytechnic uprising, tank assault, and state-violence memory",2,False,"Greece/00-00-1973/Athens Polytechnic uprising, tank assault, and state-violence memory/Media/01 - Cover Card.svg | Greece/00-00-1973/Athens Polytechnic uprising, tank assault, and state-violence memory/Media/02 - Proof Map.svg"
greece_1973_athens_polytechnic_uprising_memory_repression,Greece,1973,Greece/00-00-1973/Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026,Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026,3,False,Greece/00-00-1973/Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026/Media/01 - EN Image.jpg | Greece/00-00-1973/Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026/Media/02 - EN Cover Card.svg | Greece/00-00-1973/Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026/Media/03 - EL Cover Card.svg
greece_1973_polytechnic_uprising_junta_repression_memory_war,Greece,1973,"Greece/00-00-1973/Polytechnic uprising, junta repression and the war over memory (1973)","Polytechnic uprising, junta repression and the war over memory (1973)",2,False,"Greece/00-00-1973/Polytechnic uprising, junta repression and the war over memory (1973)/Media/01 - EN Cover Card.svg | Greece/00-00-1973/Polytechnic uprising, junta repression and the war over memory (1973)/Media/02 - EL Cover Card.svg"
greece_1974_cyprus_coup_and_invasion_catastrophe,Greece,1974,Greece/00-00-1974/Cyprus coup and invasion catastrophe,Cyprus coup and invasion catastrophe,2,False,Greece/00-00-1974/Cyprus coup and invasion catastrophe/Media/01 - Cover Card.svg | Greece/00-00-1974/Cyprus coup and invasion catastrophe/Media/02 - Proof Map.svg
greece_1974_cyprus_coup_junta_responsibility_invasion_memory,Greece,1974,"Greece/00-00-1974/Cyprus coup, Greek junta responsibility, and invasion memory","Cyprus coup, Greek junta responsibility, and invasion memory",2,False,"Greece/00-00-1974/Cyprus coup, Greek junta responsibility, and invasion memory/Media/01 - Cover Card.svg | Greece/00-00-1974/Cyprus coup, Greek junta responsibility, and invasion memory/Media/02 - Proof Map.svg"
greece_1974_cyprus_coup_invasion_greek_junta_collapse,Greece,1974,"Greece/00-00-1974/Cyprus coup, invasion, and Greek junta collapse","Cyprus coup, invasion, and Greek junta collapse",2,False,"Greece/00-00-1974/Cyprus coup, invasion, and Greek junta collapse/Media/01 - EN Cover Card.svg | Greece/00-00-1974/Cyprus coup, invasion, and Greek junta collapse/Media/02 - EN Proof Map.svg"
greece_1974_cyprus_coup_junta_responsibility_invasion_national_trauma,Greece,1974,"Greece/00-00-1974/Cyprus coup, junta responsibility, invasion and national trauma (1974)","Cyprus coup, junta responsibility, invasion and national trauma (1974)",2,False,"Greece/00-00-1974/Cyprus coup, junta responsibility, invasion and national trauma (1974)/Media/01 - EN Cover Card.svg | Greece/00-00-1974/Cyprus coup, junta responsibility, invasion and national trauma (1974)/Media/02 - EL Cover Card.svg"
greece_1974_junta_trials_partial_accountability_metapolitefsi_punishment_unfinishe,Greece,1974,"Greece/00-00-1974/Junta Trials and Partial Accountability Metapolitefsi, Punishment and Unfinished Files","Junta Trials and Partial Accountability: Metapolitefsi, Punishment and Unfinished Files",2,False,"Greece/00-00-1974/Junta Trials and Partial Accountability Metapolitefsi, Punishment and Unfinished Files/Media/01 - EN Cover Card.svg | Greece/00-00-1974/Junta Trials and Partial Accountability Metapolitefsi, Punishment and Unfinished Files/Media/02 - EL Cover Card.svg"
greece_1976_torture_trials_limits_metapolitefsi_justice,Greece,1976,Greece/00-00-1976/Torture trials and limits of Metapolitefsi justice,Torture trials and limits of Metapolitefsi justice,2,True,Greece/00-00-1976/Torture trials and limits of Metapolitefsi justice/Media/01 - EN Torture Trials And Limits Of Metapolitefsi Justice F472D74E4022.svg | Greece/00-00-1976/Torture trials and limits of Metapolitefsi justice/Media/02 - Bilingual Snapshot.svg
greece_1977_penteli_davelis_cave_military_rumors_supernatural_folklore_imagination,Greece,1977,"Greece/00-00-1977/Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (197","Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (1977-2026)",2,False,"Greece/00-00-1977/Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (197/Media/01 - EN Cover Card.svg | Greece/00-00-1977/Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (197/Media/02 - EL Cover Card.svg"
greece_1981_weather_modification_hail_suppression,Greece,1981,Greece/00-00-1981/Greece Weather Modification Is Real — But Limited (Greek National Hail Suppression Progr,Greece: Weather Modification Is Real — But Limited (Greek National Hail Suppression Program) (1981-2026),2,False,Greece/00-00-1981/Greece Weather Modification Is Real — But Limited (Greek National Hail Suppression Progr/Media/01 - EN Cover Card.svg | Greece/00-00-1981/Greece Weather Modification Is Real — But Limited (Greek National Hail Suppression Progr/Media/02 - EL Cover Card.svg
greece_1985_kaltezas_killing_exarchia_police_distrust,Greece,1985,Greece/00-00-1985/Kaltezas killing and Exarchia police distrust,Kaltezas killing and Exarchia police distrust,2,True,Greece/00-00-1985/Kaltezas killing and Exarchia police distrust/Media/01 - EN Kaltezas Killing And Exarchia Police Distrust Cove 44B80Fe30B43.svg | Greece/00-00-1985/Kaltezas killing and Exarchia police distrust/Media/02 - Bilingual Snapshot.svg
greece_1985_kaltezas_killing_police_impunity_youth_revolt,Greece,1985,"Greece/00-00-1985/Michalis Kaltezas killing, police impunity, and youth revolt","Michalis Kaltezas killing, police impunity, and youth revolt",2,False,"Greece/00-00-1985/Michalis Kaltezas killing, police impunity, and youth revolt/Media/01 - Cover Card.svg | Greece/00-00-1985/Michalis Kaltezas killing, police impunity, and youth revolt/Media/02 - Proof Map.svg"
greece_1988_banking_scandals_koskotas_proton,Greece,1988,Greece/00-00-1988/Greece Banking scandals from Koskotas to Proton (1988-2013),Greece: Banking scandals from Koskotas to Proton (1988-2013),2,False,Greece/00-00-1988/Greece Banking scandals from Koskotas to Proton (1988-2013)/Media/01 - EN Cover Card.svg | Greece/00-00-1988/Greece Banking scandals from Koskotas to Proton (1988-2013)/Media/02 - EL Cover Card.svg
greece_1988_koskotas_scandal_media_bank_politics,Greece,1988,"Greece/00-00-1988/Koskotas scandal media, banking, and politics","Koskotas scandal: media, banking, and politics",2,False,"Greece/00-00-1988/Koskotas scandal media, banking, and politics/Media/01 - EN Cover Card.svg | Greece/00-00-1988/Koskotas scandal media, banking, and politics/Media/02 - EN Proof Map.svg"
greece_1989_koskotas_scandal_and_media_bank_political_triangle,Greece,1989,Greece/00-00-1989/Koskotas scandal and media-bank-political triangle,Koskotas scandal and media-bank-political triangle,2,False,Greece/00-00-1989/Koskotas scandal and media-bank-political triangle/Media/01 - Cover Card.svg | Greece/00-00-1989/Koskotas scandal and media-bank-political triangle/Media/02 - Proof Map.svg
greece_1989_koskotas_scandal_media_banking_party_finance,Greece,1989,Greece/00-00-1989/Koskotas scandal media banking and party finance,Koskotas scandal media banking and party finance,2,True,Greece/00-00-1989/Koskotas scandal media banking and party finance/Media/01 - EN Koskotas Scandal Media Banking And Party Finance C 72326D301C8C.svg | Greece/00-00-1989/Koskotas scandal media banking and party finance/Media/02 - Bilingual Snapshot.svg
greece_1989_koskotas_bank_crete_media_money_political_power,Greece,1989,"Greece/00-00-1989/Koskotas, Bank of Crete, media money and political power (1988-1992)","Koskotas, Bank of Crete, media money and political power (1988-1992)",2,False,"Greece/00-00-1989/Koskotas, Bank of Crete, media money and political power (1988-1992)/Media/01 - EN Cover Card.svg | Greece/00-00-1989/Koskotas, Bank of Crete, media money and political power (1988-1992)/Media/02 - EL Cover Card.svg"
greece_1991_koskoletas_media_licensing_private_tv_power,Greece,1991,"Greece/00-00-1991/Private TV licensing, media power, and political dependency","Private TV licensing, media power, and political dependency",2,False,"Greece/00-00-1991/Private TV licensing, media power, and political dependency/Media/01 - Cover Card.svg | Greece/00-00-1991/Private TV licensing, media power, and political dependency/Media/02 - Proof Map.svg"
greece_1991_temponeras_murder_education_protest_violence,Greece,1991,Greece/00-00-1991/Temponeras murder and education protest violence,Temponeras murder and education protest violence,2,True,Greece/00-00-1991/Temponeras murder and education protest violence/Media/01 - EN Temponeras Murder And Education Protest Violence C 771Fa1Ed0Ce9.svg | Greece/00-00-1991/Temponeras murder and education protest violence/Media/02 - Bilingual Snapshot.svg
greece_1996_imia_crisis_nationalism_media_escalation_secret_diplomacy,Greece,1996,"Greece/00-00-1996/Imia Crisis Nationalism, Media Escalation and Secret Diplomacy","Imia Crisis: Nationalism, Media Escalation and Secret Diplomacy",2,False,"Greece/00-00-1996/Imia Crisis Nationalism, Media Escalation and Secret Diplomacy/Media/01 - EN Cover Card.svg | Greece/00-00-1996/Imia Crisis Nationalism, Media Escalation and Secret Diplomacy/Media/02 - EL Cover Card.svg"
greece_1996_imia_crisis_sovereignty_media_military_pressure,Greece,1996,"Greece/00-00-1996/Imia crisis, sovereignty panic, and media-military pressure","Imia crisis, sovereignty panic, and media-military pressure",2,False,"Greece/00-00-1996/Imia crisis, sovereignty panic, and media-military pressure/Media/01 - Cover Card.svg | Greece/00-00-1996/Imia crisis, sovereignty panic, and media-military pressure/Media/02 - Proof Map.svg"
greece_1997_defence_bribery_tsochatzopoulos,Greece,1997,"Greece/00-00-1997/Greece Defence Bribery, Akis Tsochatzopoulos, and Arms-Deal Corruption (1997-2015)","Greece: Defence Bribery, Akis Tsochatzopoulos, and Arms-Deal Corruption (1997-2015)",2,False,"Greece/00-00-1997/Greece Defence Bribery, Akis Tsochatzopoulos, and Arms-Deal Corruption (1997-2015)/Media/01 - EN Cover Card.svg | Greece/00-00-1997/Greece Defence Bribery, Akis Tsochatzopoulos, and Arms-Deal Corruption (1997-2015)/Media/02 - EL Cover Card.svg"
greece_1997_siemens_scandal,Greece,1997,Greece/00-00-1997/Greece Siemens bribery scandal (1997-2017),Greece: Siemens bribery scandal (1997-2017),2,False,Greece/00-00-1997/Greece Siemens bribery scandal (1997-2017)/Media/01 - EN Cover Card.svg | Greece/00-00-1997/Greece Siemens bribery scandal (1997-2017)/Media/02 - EL Cover Card.svg
greece_1999_athens_stock_exchange_bubble_small_investor_ruin,Greece,1999,Greece/00-00-1999/Athens stock exchange bubble and small investor ruin,Athens stock exchange bubble and small investor ruin,2,True,Greece/00-00-1999/Athens stock exchange bubble and small investor ruin/Media/01 - EN Athens Stock Exchange Bubble And Small Investor Ru 27172Fd35E40.svg | Greece/00-00-1999/Athens stock exchange bubble and small investor ruin/Media/02 - Bilingual Snapshot.svg
greece_1999_stock_exchange_bubble_hype_small_investors_accountability,Greece,1999,"Greece/00-00-1999/Athens stock exchange bubble, public hype, small investors and accountability (1999-2002","Athens stock exchange bubble, public hype, small investors and accountability (1999-2002)",2,False,"Greece/00-00-1999/Athens stock exchange bubble, public hype, small investors and accountability (1999-2002/Media/01 - EN Cover Card.svg | Greece/00-00-1999/Athens stock exchange bubble, public hype, small investors and accountability (1999-2002/Media/02 - EL Cover Card.svg"
greece_1999_athens_stock_market_bubble_loss,Greece,1999,Greece/00-00-1999/Athens stock market bubble and public loss,Athens stock market bubble and public loss,2,False,Greece/00-00-1999/Athens stock market bubble and public loss/Media/01 - EN Cover Card.svg | Greece/00-00-1999/Athens stock market bubble and public loss/Media/02 - EN Proof Map.svg
greece_1999_ocalan_affair_secret_diplomacy_state_denial_foreign_pressure,Greece,1999,"Greece/00-00-1999/Greece — Öcalan affair, secret diplomacy, state denial, and foreign pressure (1999)","Greece — Öcalan affair, secret diplomacy, state denial, and foreign pressure (1999)",4,False,"Greece/00-00-1999/Greece — Öcalan affair, secret diplomacy, state denial, and foreign pressure (1999)/Media/01 - EN Cover Card.svg | Greece/00-00-1999/Greece — Öcalan affair, secret diplomacy, state denial, and foreign pressure (1999)/Media/02 - EN Cover Card.svg | Greece/00-00-1999/Greece — Öcalan affair, secret diplomacy, state denial, and foreign pressure (1999)/Media/03 - EL Cover Card.svg | Greece/00-00-1999/Greece — Öcalan affair, secret diplomacy, state denial, and foreign pressure (1999)/Media/04 - EL Cover Card.svg"
greece_1999_stock_market_bubble_and_household_losses,Greece,1999,Greece/00-00-1999/Stock market bubble and household losses,Stock market bubble and household losses,2,False,Greece/00-00-1999/Stock market bubble and household losses/Media/01 - Cover Card.svg | Greece/00-00-1999/Stock market bubble and household losses/Media/02 - Proof Map.svg
greece_2000_express_samina_ferry_disaster_shipping_oversight,Greece,2000,Greece/00-00-2000/Express Samina ferry disaster and shipping oversight failure,Express Samina ferry disaster and shipping oversight failure,2,False,Greece/00-00-2000/Express Samina ferry disaster and shipping oversight failure/Media/01 - Cover Card.svg | Greece/00-00-2000/Express Samina ferry disaster and shipping oversight failure/Media/02 - Proof Map.svg
greece_2000_express_samina_ferry_disaster_safety_culture_island_transport_accounta,Greece,2000,"Greece/00-00-2000/Express Samina Ferry Disaster Safety Culture, Island Transport and Accountability","Express Samina Ferry Disaster: Safety Culture, Island Transport and Accountability",2,False,"Greece/00-00-2000/Express Samina Ferry Disaster Safety Culture, Island Transport and Accountability/Media/01 - EN Cover Card.svg | Greece/00-00-2000/Express Samina Ferry Disaster Safety Culture, Island Transport and Accountability/Media/02 - EL Cover Card.svg"
greece_2001_delphi_gases_geology,Greece,2001,"Greece/00-00-2001/Greece Delphi, “Prophecy,” and the Geological Explanation of a Supernatural Tradition (2","Greece: Delphi, “Prophecy,” and the Geological Explanation of a Supernatural Tradition (2001-2026)",2,False,"Greece/00-00-2001/Greece Delphi, “Prophecy,” and the Geological Explanation of a Supernatural Tradition (2/Media/01 - EN Cover Card.svg | Greece/00-00-2001/Greece Delphi, “Prophecy,” and the Geological Explanation of a Supernatural Tradition (2/Media/02 - EL Cover Card.svg"
