category_en,total,greece,usa,first_year,last_year
surveillance / spyware,1,1,0,2022,2022
surveillance / telecom security,1,1,0,2004,2004
surveillance / telecoms,1,1,0,2005,2005
surveillance law / emergency powers,1,0,1,2001,2001
surveillance oversight / independent authorities,1,1,0,2023,2023
tax justice / elite impunity,1,1,0,2011,2011
technology / political manipulation,1,0,1,2025,2025
terrorism / intelligence controversy,1,0,1,1988,1988
terrorism / justice,1,1,0,2002,2002
terrorism / security failure,1,0,1,1993,1993
terrorism / security response / conspiracy ecosystem,1,0,1,1995,1995
transitional justice / dictatorship accountability,1,1,0,1974,1974
transport disaster / regulatory failure,1,1,0,2000,2000
transport disaster / trial / political responsibility,1,1,0,2026,2026
transport safety / state accountability,1,1,0,2023,2023
UAP / public trust,1,0,1,2024,2024
urban policing / public order,1,1,0,2019,2019
veterans / state force,1,0,1,1932,1932
war / intelligence failure,1,0,1,2003,2003
war / survival / collaboration,1,1,0,1941,1941
war abuse / accountability,1,0,1,2004,2004
war crimes / detention,1,0,1,2002,2002
war crimes / military accountability,1,0,1,1968,1968
war disaster / accountability,1,1,0,1922,1922
war on terror / detention,1,0,1,2004,2004
war powers / intelligence,1,0,1,1964,1964
war powers / intelligence / deception claims,1,0,1,1964,1964
war secrecy / press freedom / public deception,1,0,1,1971,1971
war trigger / media panic,1,0,1,1898,1898
wartime rights / mass detention,1,0,1,1942,1942
wildfire / borders / climate governance,1,1,0,2023,2023
wildfire / state failure,1,1,0,2018,2018
wildfire disaster / civil protection,1,1,0,2018,2018
wrongful conviction / media panic / race and policing,1,0,1,1989,1989
