Country,DateFolder,Year,IncidentFolder,IncidentPath,ID,TitleEN,TitleEL,CategoryEN,CategoryEL,EvidenceEN,EvidenceEL,MediaCount
Greece,00-00-1952,1952,"Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)","Greece/00-00-1952/Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)",greece_1952_belogiannis_execution_cold_war_justice_symbolic_repression,"Greece — Belogiannis execution, Cold War justice, and symbolic repression (1952)","Ελλάδα — Εκτέλεση Μπελογιάννη, ψυχροπολεμική δικαιοσύνη και συμβολική καταστολή (1952)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,High for trial/execution; contested on political and legal interpretation.,μικτό δημόσιο αρχείο· διάβασε τις πηγές,4
Greece,00-00-1955,1955,"Greece and the Istanbul Pogrom Minority Trauma, Diplomatic Shock and State Memory","Greece/00-00-1955/Greece and the Istanbul Pogrom Minority Trauma, Diplomatic Shock and State Memory",greece_1955_istanbul_pogrom_minority_trauma_diplomatic_shock_state_memory,"Greece and the Istanbul Pogrom: Minority Trauma, Diplomatic Shock and State Memory","Ελλάδα και Σεπτεμβριανά Κωνσταντινούπολης: Μειονοτικό Τραύμα, Διπλωματικό Σοκ και Μνήμη",minority rights / foreign-state violence / memory,μειονοτικά δικαιώματα / κρατική βία τρίτης χώρας / μνήμη,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-1955,1955,Istanbul Pogrom and Greek minority trauma,Greece/00-00-1955/Istanbul Pogrom and Greek minority trauma,greece_1955_istanbul_pogrom_greek_minority_trauma,Istanbul Pogrom and Greek minority trauma,Istanbul Pogrom and Greek minority trauma,minority rights / diplomatic shock,minority rights / diplomatic shock,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-1958,1958,"Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)","Greece/00-00-1958/Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)",greece_1958_max_merten_occupation_memory_diplomacy_accountability,"Max Merten affair, occupation memory, diplomacy and accountability (1958-1960)","Υπόθεση Μαξ Μέρτεν, μνήμη Κατοχής, διπλωματία και λογοδοσία (1958-1960)","Corruption, capture and public money",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1960,1960,Greece Psychological Control Media Fear And Political Memory 1960 2026,Greece/00-00-1960/Greece Psychological Control Media Fear And Political Memory 1960 2026,greece_1960_psychological_control_media_fear_political_memory,Greece Psychological Control Media Fear And Political Memory 1960 2026,Ελλαδα Ψυχολογικος Ελεγχος Media Φοβος Και Πολιτικη Μνημη 1960 2026,public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1961,1961,"Violence and fraud election, parastate networks and democratic trust (1961)","Greece/00-00-1961/Violence and fraud election, parastate networks and democratic trust (1961)",greece_1961_violence_fraud_election_parastate_democratic,"Violence and fraud election, parastate networks and democratic trust (1961)","Εκλογές βίας και νοθείας, παρακράτος και δημοκρατική εμπιστοσύνη (1961)","Surveillance, secrecy and information control",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1963,1963,Lambrakis assassination and the parastate,Greece/00-00-1963/Lambrakis assassination and the parastate,greece_1963_lambrakis_assassination_parastate,Lambrakis assassination and the parastate,Δολοφονία Λαμπράκη και το παρακράτος,political violence / parastate,πολιτική βία / παρακράτος,documented political scandal,τεκμηριωμένο πολιτικό σκάνδαλο,3
Greece,00-00-1965,1965,"Apostasia crisis, palace pressure, and parliamentary defections","Greece/00-00-1965/Apostasia crisis, palace pressure, and parliamentary defections",greece_1965_apostasia_palace_party_defection_crisis,"Apostasia crisis, palace pressure, and parliamentary defections","Αποστασία, πίεση παλατιού και κοινοβουλευτικές μετακινήσεις",constitutional crisis / palace influence,συνταγματική κρίση / επιρροή παλατιού,documented political crisis with disputed motives,τεκμηριωμένη πολιτική κρίση με αμφισβητούμενα κίνητρα,2
Greece,00-00-1965,1965,"Apostasia, royal crisis, defectors and institutional breakdown (1965)","Greece/00-00-1965/Apostasia, royal crisis, defectors and institutional breakdown (1965)",greece_1965_apostasia_royal_crisis_defectors_institutional_breakdown,"Apostasia, royal crisis, defectors and institutional breakdown (1965)","Αποστασία, βασιλική κρίση, αποστάτες και θεσμική κατάρρευση (1965)","Corruption, capture and public money",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1965,1965,"ASPIDA affair, army politics, and palace pressure","Greece/00-00-1965/ASPIDA affair, army politics, and palace pressure",greece_1965_aspida_affair_army_politics_palace_pressure,"ASPIDA affair, army politics, and palace pressure","Υπόθεση ΑΣΠΙΔΑ, στρατός, πολιτική και πίεση παλατιού",army politics / constitutional crisis / intelligence claims,στρατός και πολιτική / συνταγματική κρίση / ισχυρισμοί υπηρεσιών,documented political-military scandal with disputed plot claims,τεκμηριωμένο πολιτικοστρατιωτικό σκάνδαλο με αμφισβητούμενους ισχυρισμούς συνωμοσίας,2
Greece,00-00-1967,1967,April 21 coup foreign context and local responsibility,Greece/00-00-1967/April 21 coup foreign context and local responsibility,greece_1967_april_21_coup_foreign_context_local_responsibility,April 21 coup: foreign context and local responsibility,Πραξικόπημα της 21ης Απριλίου: ξένο πλαίσιο και τοπική ευθύνη,military dictatorship / Cold War,στρατιωτική δικτατορία / Ψυχρός Πόλεμος,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1967,1967,Greece The 1967 coup and the U.S. response (1965-1974),Greece/00-00-1967/Greece The 1967 coup and the U.S. response (1965-1974),greece_1967_coup_us_response,Greece: The 1967 coup and the U.S. response (1965-1974),Ελλάδα: Το πραξικόπημα του 1967 και η αμερικανική ανταπόκριση (1965-1974),public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1967,1967,Junta coup and NATO era anti-communist state,Greece/00-00-1967/Junta coup and NATO era anti-communist state,greece_1967_junta_coup_nato_era_anti_communist_state,Junta coup and NATO era anti-communist state,Junta coup and NATO era anti-communist state,dictatorship / foreign context,dictatorship / foreign context,documented coup,documented coup,2
Greece,00-00-1968,1968,Junta torture files and international condemnation,Greece/00-00-1968/Junta torture files and international condemnation,greece_1968_junta_torture_files_international_condemnation,Junta torture files and international condemnation,Junta torture files and international condemnation,dictatorship / human rights,dictatorship / human rights,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-1968,1968,"Panagoulis Torture and Junta Repression Resistance, Military Courts and Fear","Greece/00-00-1968/Panagoulis Torture and Junta Repression Resistance, Military Courts and Fear",greece_1968_panagoulis_torture_junta_repression_resistance_military_courts_fear,"Panagoulis Torture and Junta Repression: Resistance, Military Courts and Fear","Βασανιστήρια Παναγούλη και Καταστολή Χούντας: Αντίσταση, Στρατοδικεία και Φόβος",dictatorship / torture / resistance,δικτατορία / βασανιστήρια / αντίσταση,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-1973,1973,Athens Polytechnic uprising and junta violence,Greece/00-00-1973/Athens Polytechnic uprising and junta violence,greece_1973_athens_polytechnic_uprising_and_junta_violence,Athens Polytechnic uprising and junta violence,Εξέγερση Πολυτεχνείου και βία χούντας,dictatorship / repression,δικτατορία / καταστολή,documented or historically established event; details vary by source,τεκμηριωμένο ή ιστορικά καθιερωμένο γεγονός· οι λεπτομέρειες διαφέρουν ανά πηγή,2
Greece,00-00-1973,1973,"Athens Polytechnic uprising, tank assault, and state-violence memory","Greece/00-00-1973/Athens Polytechnic uprising, tank assault, and state-violence memory",greece_1973_athens_polytechnic_uprising_tank_memory_state_violence,"Athens Polytechnic uprising, tank assault, and state-violence memory","Εξέγερση Πολυτεχνείου, εισβολή τανκ και μνήμη κρατικής βίας",dictatorship / student uprising / state violence,δικτατορία / φοιτητική εξέγερση / κρατική βία,documented uprising and repression with contested memory politics,τεκμηριωμένη εξέγερση και καταστολή με αμφισβητούμενη πολιτική μνήμης,2
Greece,00-00-1973,1973,Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026,Greece/00-00-1973/Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026,greece_1973_athens_polytechnic_uprising_memory_repression,Greece Athens Polytechnic Uprising Memory Repression And Image File 1973 2026,Ελλαδα Εξεγερση Πολυτεχνειου Μνημη Καταστολη Και Αρχειο Εικονας 1973 2026,public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,3
Greece,00-00-1973,1973,"Polytechnic uprising, junta repression and the war over memory (1973)","Greece/00-00-1973/Polytechnic uprising, junta repression and the war over memory (1973)",greece_1973_polytechnic_uprising_junta_repression_memory_war,"Polytechnic uprising, junta repression and the war over memory (1973)","Πολυτεχνείο, καταστολή χούντας και πόλεμος μνήμης (1973)","Policing, force and institutional accountability",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1974,1974,Cyprus coup and invasion catastrophe,Greece/00-00-1974/Cyprus coup and invasion catastrophe,greece_1974_cyprus_coup_and_invasion_catastrophe,Cyprus coup and invasion catastrophe,Πραξικόπημα Κύπρου και καταστροφή εισβολής,junta / foreign policy disaster,χούντα / εξωτερική πολιτική καταστροφή,documented or historically established event; details vary by source,τεκμηριωμένο ή ιστορικά καθιερωμένο γεγονός· οι λεπτομέρειες διαφέρουν ανά πηγή,2
Greece,00-00-1974,1974,"Cyprus coup, Greek junta responsibility, and invasion memory","Greece/00-00-1974/Cyprus coup, Greek junta responsibility, and invasion memory",greece_1974_cyprus_coup_junta_responsibility_invasion_memory,"Cyprus coup, Greek junta responsibility, and invasion memory","Κυπριακό πραξικόπημα, ευθύνη χούντας και μνήμη εισβολής",military regime / foreign policy disaster,στρατιωτικό καθεστώς / καταστροφή εξωτερικής πολιτικής,documented coup and invasion with contested accountability,τεκμηριωμένο πραξικόπημα και εισβολή με αμφισβητούμενη λογοδοσία,2
Greece,00-00-1974,1974,"Cyprus coup, invasion, and Greek junta collapse","Greece/00-00-1974/Cyprus coup, invasion, and Greek junta collapse",greece_1974_cyprus_coup_invasion_greek_junta_collapse,"Cyprus coup, invasion, and Greek junta collapse","Cyprus coup, invasion, and Greek junta collapse",foreign policy / military regime,foreign policy / military regime,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1974,1974,"Cyprus coup, junta responsibility, invasion and national trauma (1974)","Greece/00-00-1974/Cyprus coup, junta responsibility, invasion and national trauma (1974)",greece_1974_cyprus_coup_junta_responsibility_invasion_national_trauma,"Cyprus coup, junta responsibility, invasion and national trauma (1974)","Κυπριακό πραξικόπημα, ευθύνη χούντας, εισβολή και εθνικό τραύμα (1974)","Surveillance, secrecy and information control",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1974,1974,"Junta Trials and Partial Accountability Metapolitefsi, Punishment and Unfinished Files","Greece/00-00-1974/Junta Trials and Partial Accountability Metapolitefsi, Punishment and Unfinished Files",greece_1974_junta_trials_partial_accountability_metapolitefsi_punishment_unfinishe,"Junta Trials and Partial Accountability: Metapolitefsi, Punishment and Unfinished Files","Δίκες Χούντας και Μερική Λογοδοσία: Μεταπολίτευση, Τιμωρία και Ανοιχτά Αρχεία",transitional justice / dictatorship accountability,μεταβατική δικαιοσύνη / λογοδοσία δικτατορίας,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-1976,1976,Torture trials and limits of Metapolitefsi justice,Greece/00-00-1976/Torture trials and limits of Metapolitefsi justice,greece_1976_torture_trials_limits_metapolitefsi_justice,Torture trials and limits of Metapolitefsi justice,Torture trials and limits of Metapolitefsi justice,accountability / dictatorship aftermath,accountability / dictatorship aftermath,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-1977,1977,"Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (197","Greece/00-00-1977/Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (197",greece_1977_penteli_davelis_cave_military_rumors_supernatural_folklore_imagination,"Penteli Davelis Cave, military rumors, supernatural folklore and public imagination (1977-2026)","Σπήλαιο Νταβέλη Πεντέλης, στρατιωτικές φήμες, υπερφυσικό folklore και δημόσια φαντασία (1977-2026)","UFO, supernatural claims and public psychology",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1981,1981,Greece Weather Modification Is Real — But Limited (Greek National Hail Suppression Progr,Greece/00-00-1981/Greece Weather Modification Is Real — But Limited (Greek National Hail Suppression Progr,greece_1981_weather_modification_hail_suppression,Greece: Weather Modification Is Real — But Limited (Greek National Hail Suppression Program) (1981-2026),Ελλάδα: Η τροποποίηση καιρού είναι πραγματική — αλλά περιορισμένη (Εθνικό Πρόγραμμα Χαλαζικής Προστασίας) (1981-2026),public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1985,1985,Kaltezas killing and Exarchia police distrust,Greece/00-00-1985/Kaltezas killing and Exarchia police distrust,greece_1985_kaltezas_killing_exarchia_police_distrust,Kaltezas killing and Exarchia police distrust,Kaltezas killing and Exarchia police distrust,policing / youth unrest,policing / youth unrest,documented killing and social rupture,documented killing and social rupture,2
Greece,00-00-1985,1985,"Michalis Kaltezas killing, police impunity, and youth revolt","Greece/00-00-1985/Michalis Kaltezas killing, police impunity, and youth revolt",greece_1985_kaltezas_killing_police_impunity_youth_revolt,"Michalis Kaltezas killing, police impunity, and youth revolt","Δολοφονία Μιχάλη Καλτεζά, αστυνομική ατιμωρησία και νεολαιίστικη εξέγερση",police violence / youth protest / accountability,αστυνομική βία / νεολαιίστικη διαμαρτυρία / λογοδοσία,documented police killing with contested accountability,τεκμηριωμένη αστυνομική δολοφονία με αμφισβητούμενη λογοδοσία,2
Greece,00-00-1988,1988,Greece Banking scandals from Koskotas to Proton (1988-2013),Greece/00-00-1988/Greece Banking scandals from Koskotas to Proton (1988-2013),greece_1988_banking_scandals_koskotas_proton,Greece: Banking scandals from Koskotas to Proton (1988-2013),Ελλάδα: Τραπεζικά σκάνδαλα από Κοσκωτά έως Proton (1988-2013),public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1988,1988,"Koskotas scandal media, banking, and politics","Greece/00-00-1988/Koskotas scandal media, banking, and politics",greece_1988_koskotas_scandal_media_bank_politics,"Koskotas scandal: media, banking, and politics","Koskotas scandal: media, banking, and politics",financial corruption / media power,financial corruption / media power,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1989,1989,Koskotas scandal and media-bank-political triangle,Greece/00-00-1989/Koskotas scandal and media-bank-political triangle,greece_1989_koskotas_scandal_and_media_bank_political_triangle,Koskotas scandal and media-bank-political triangle,Σκάνδαλο Κοσκωτά και τρίγωνο ΜΜΕ-τράπεζας-πολιτικής,corruption / media / finance,διαφθορά / ΜΜΕ / οικονομία,documented political-financial scandal,τεκμηριωμένο πολιτικοοικονομικό σκάνδαλο,2
Greece,00-00-1989,1989,Koskotas scandal media banking and party finance,Greece/00-00-1989/Koskotas scandal media banking and party finance,greece_1989_koskotas_scandal_media_banking_party_finance,Koskotas scandal media banking and party finance,Koskotas scandal media banking and party finance,corruption / media power,corruption / media power,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-1989,1989,"Koskotas, Bank of Crete, media money and political power (1988-1992)","Greece/00-00-1989/Koskotas, Bank of Crete, media money and political power (1988-1992)",greece_1989_koskotas_bank_crete_media_money_political_power,"Koskotas, Bank of Crete, media money and political power (1988-1992)","Κοσκωτάς, Τράπεζα Κρήτης, μιντιακό χρήμα και πολιτική εξουσία (1988-1992)","Corruption, capture and public money",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1991,1991,"Private TV licensing, media power, and political dependency","Greece/00-00-1991/Private TV licensing, media power, and political dependency",greece_1991_koskoletas_media_licensing_private_tv_power,"Private TV licensing, media power, and political dependency","Ιδιωτική τηλεόραση, άδειες, μιντιακή ισχύς και πολιτική εξάρτηση",media ownership / licensing / political influence,ιδιοκτησία ΜΜΕ / αδειοδότηση / πολιτική επιρροή,documented media-system controversy with long-term structural effects,τεκμηριωμένη διαμάχη συστήματος ΜΜΕ με μακροχρόνιες δομικές συνέπειες,2
Greece,00-00-1991,1991,Temponeras murder and education protest violence,Greece/00-00-1991/Temponeras murder and education protest violence,greece_1991_temponeras_murder_education_protest_violence,Temponeras murder and education protest violence,Temponeras murder and education protest violence,political violence / education,political violence / education,documented killing,documented killing,2
Greece,00-00-1996,1996,"Imia crisis, sovereignty panic, and media-military pressure","Greece/00-00-1996/Imia crisis, sovereignty panic, and media-military pressure",greece_1996_imia_crisis_sovereignty_media_military_pressure,"Imia crisis, sovereignty panic, and media-military pressure","Κρίση Ιμίων, πανικός κυριαρχίας και πίεση ΜΜΕ-στρατού",foreign policy crisis / media escalation,κρίση εξωτερικής πολιτικής / κλιμάκωση ΜΜΕ,documented crisis with disputed diplomatic handling,τεκμηριωμένη κρίση με αμφισβητούμενο διπλωματικό χειρισμό,2
Greece,00-00-1996,1996,"Imia Crisis Nationalism, Media Escalation and Secret Diplomacy","Greece/00-00-1996/Imia Crisis Nationalism, Media Escalation and Secret Diplomacy",greece_1996_imia_crisis_nationalism_media_escalation_secret_diplomacy,"Imia Crisis: Nationalism, Media Escalation and Secret Diplomacy","Κρίση Ιμίων: Εθνικισμός, Μιντιακή Κλιμάκωση και Μυστική Διπλωματία",foreign policy crisis / media panic,κρίση εξωτερικής πολιτικής / μιντιακός πανικός,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
